,,,,,,,,Average,PDF_Year
,,,,,,Change,# of,Annual,2018
Wolf,,,# of,,Total #,from,Telemetry,Pack,2018
,,# of,Wolves,,of,2016-,Monitored,Territoryb,2018
Unit,,Packs,in Packs,Loners,Wolves,2017,Wolvesa,(mi2),2018
,Off Reservations,89,336-354,3,339-357,,28,,2018
1,On Reservations,2,9-10,1,10-11,,2,,2018
,Total,91,345-364,4,349-368,-11.2%,30,50.2 (n=25),2018
,Off Reservations,52,209-217,2,211-219,,22,,2018
2,On Reservations,5,19,0,19,,1,,2018
,Total,57,228-236,2,230-238,11.7%,23,63.5 (n=18),2018
,Off Reservations,28,83,1,84,,7,,2018
3,On Reservations,0,0,0,0,,0,,2018
,Total,28,83,1,84,-28.2%,7,45.1 (n=6),2018
,Off Reservations,11,34-37,4,38-41,,0,,2018
4,On Reservations,0,0,0,0,,0,,2018
,Total,11,34-37,4,38-41,2.7%,0,,2018
,Off Reservations,34,142-151,2,144-153,,10,,2018
5,On Reservations,0,0,0,0,,0,,2018
,Total,34,142-151,2,144-153,23.1%,10,36.7 (n=8),2018
,Off Reservations,17,51,9,60,,2,,2018
6,On Reservations,0,0,0,0,,0,,2018
,Total,17,51,9,60,9.1%,2,40.2 (n=1),2018
,Off Reservations,231,855-893,21,876-914,,69,,2018
Statewide,On Reservations,7,28-29,1,29-30,,3,,2018
,Total,238,883-922,22,905-944,-2.2%,72,51.8 (n=58),2018
,,,,,,Change,# of,Annual,2019
Wolf,,,# of,,Total #,from,Telemetry,Pack,2019
,,# of,Wolves,,of,2016-,Monitored,Territoryb,2019
Unit,,Packs,in Packs,Loners,Wolves,2017,Wolvesa,(mi2),2019
,Off Reservations,88,343-361,6,349-367,,35,,2019
1,On Reservations,4,10-11,1,11-12,,2,,2019
,Total,92,353-372,7,360-379,3.2%,37,67.3 (n=22),2019
,Off Reservations,52,197-214,5,202-219,,17,,2019
2,On Reservations,6,18-20,0,18-20,,2,,2019
,Total,58,215-234,5,220-239,-4.3%,19,57.2 (n=16),2019
,Off Reservations,32,102-107,4,106-111,,4,,2019
3,On Reservations,0,0,0,0,,0,,2019
,Total,32,102-107,4,106-111,26.2%,4,26.2 (n=5),2019
,Off Reservations,11,33-36,2,35-38,,1,,2019
4,On Reservations,0,0,0,0,,0,,2019
,Total,11,33-36,2,35-38,-7.9%,1,24.1 (n=1),2019
,Off Reservations,34,133-146,1,134-147,,10,,2019
5,On Reservations,0,0,0,0,,0,,2019
,Total,34,133-146,1,134-147,-6.9%,10,45.8 (n=8),2019
,Off Reservations,17,53-58,6,59-64,,3,,2019
6,On Reservations,0,0,0,0,,0,,2019
,Total,17,53-58,6,59-64,-1.7%,3,126.3 (n=3),2019
,Off Reservations,233,861-922,24,885-946,,70,,2019
Statewide,On Reservations,10,28-31,1,29-32,,4,,2019
,Total,243,889-953,25,914-978,1.0%,74,60.5 (n=60),2019
Out of,,,,,,,,,2019
,,,,,,,3,,2019
State,,,,,,,,,2019
,,,,,,,,,2019
,,,,,,Change,# of,Annual,2020
Wolf,,,# of,,,from,Telemetry,Pack,2020
,,# of,Wolves in,,Total # of,2018-,Monitored,Territoryb,2020
Unit,,Packs,Packs,Loners,Wolves,2019,Wolvesa,(mi2),2020
,Off Reservations,93,402-408,1,403-409,,41,,2020
1,On Reservations,5,21,0,21,,1,,2020
,Total,98,423-429,1,424-430,17.8%,42,59.1 (n=31),2020
,Off Reservations,53,221-226,3,224-229,,18,,2020
2,On Reservations,6,19-21,0,19-21,,0,,2020
,Total,59,240-247,3,243-250,10.5%,18,73.8 (n=15),2020
,Off Reservations,33,133-136,3,136-139,,6,,2020
3,On Reservations,0,0,0,0,,0,,2020
,Total,33,133-136,3,136-139,28.3%,6,87.2 (n=6),2020
,Off Reservations,11,35,1,36,,2,,2020
4,On Reservations,0,0,0,0,,0,,2020
,Total,11,35,1,36,2.9%,2,32.4 (n=1),2020
,Off Reservations,37,137-143,1,138-144,,7,,2020
5,On Reservations,0,0,0,0,,0,,2020
,Total,37,137-143,1,138-144,3.0%,7,42.4 (n=6),2020
,Off Reservations,18,50-51,7,57-58,,1,,2020
6,On Reservations,0,0,0,0,,0,,2020
,Total,18,50-51,7,57-58,-3.4%,1,29.5 (n=1),2020
,Off Reservations,245,978-999,16,994-1015,,75,,2020
Statewide,On Reservations,11,40-42,0,40-42,,1,,2020
,Total,256,1018-1041,16,1034-1057,13.1%,76,63.0 (n=60),2020
Out of,,,,,,,,,2020
